k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
67,64,0.22904641317456376,-0.07241059278842833,-0.07196835486733977,-5.717734412150474e-16,-0.3437526294724007,-1.5708113851796457,0.0669377343710358,0.7728309495794092,-0.8369506566877495,-0.09,0.020655684823903064,-0.9401031637674342,-0.33565033502011893,0.05584117441277929,0.06506480670974915,0.7979072773278462,-0.7167415651134998,-0.09723086821455616,-0.7259480507965869,-0.6862944844217241,0.04471362428786204,solved,0,0.0003669185686975024,36.72176258791826,64,0.6304867311952079,0.001929865552472543,0.0007701344475274572
68,65,0.32892188059224625,-0.07435318332917179,-0.0722982518721316,-2.1968636320165102e-16,-0.32432011309343667,-1.5708111169475854,0.0046565670556548,0.7761201683853317,-0.8376941885210412,-0.09,0.020549310632080247,-0.9373461929571578,-0.3430565795396145,0.057201605011126616,0.0651113723803057,0.7978356332521,-0.7175576519001932,-0.09760661266561471,-0.6881727840526793,-0.7246950044063468,0.03514782891828815,solved,0,0.0003920911616791833,36.37570136181968,65,0.34307538747811916,0.0018781789228600424,0.0008218210771399578
69,65,0.2272286301283099,-0.11349231220219352,-0.06909297438658608,1.0006269912861525e-15,-0.312561834128529,-1.5708109501856735,0.03627632728736662,0.7783924546866148,-0.8388291116430631,-0.09,0.020461785234357946,-0.9345323871943065,-0.35043958368092726,0.05850325477673974,0.06547413565317937,0.7979850694488798,-0.7178035227417386,-0.09726226222932187,-0.6544338022152948,-0.7547515063642163,0.045459456210768676,solved,0,0.0001790397063644846,33.679588601627934,65,0.5894373092230548,0.0016910899414618694,0.0010089100585381307
70,65,0.16748095266378407,-0.05464182717926294,-0.07090090235221615,1.6683996439666326e-17,-0.2939756469801303,-1.5708106745162795,0.0632080079073113,0.7800672642132526,-0.8393755299148556,-0.09,0.02040551678973712,-0.9316642202985341,-0.35779826169161405,0.0597143151223177,0.06610621573225249,0.7977926756770395,-0.718056977234891,-0.09734958542494994,-0.6567528948514751,-0.7528345391636219,0.04376975835556352,solved,0,0.00014818096517156502,33.93489817304669,65,0.852069906600345,0.0018470114549488262,0.000852988545051174
71,66,0.23715271232528476,-0.10957763652691363,-0.06800463740008177,-5.485569240249406e-17,-0.27826284055082073,-1.570810418713389,0.011150630844330062,0.7824387913365054,-0.8404713062801248,-0.09,0.020376057518396554,-0.9287413664544583,-0.3651325317651986,0.060848375188240475,0.06621772204069579,0.7977642116279995,-0.7188341559525183,-0.09725628927154231,-0.6204158899767788,-0.7829428493185585,0.045657618917972695,solved,0,0.00035094698298008024,32.971662778888145,66,0.5876252512507666,0.0017685884314763785,0.0009314115685236217
72,66,0.17571757123184692,-0.04981524350686772,-0.0699503032973525,-2.274657807362422e-15,-0.26151398859804015,-1.5708101351795178,0.07929950260896325,0.7841959670488239,-0.8409694587151935,-0.09,0.020375881536619178,-0.9257646256622298,-0.3724419054063033,0.06190079499812106,0.06701071706678542,0.7976041275706858,-0.7188568730581611,-0.09725030055242916,-0.6293413205560618,-0.7758459060878873,0.044638909567970585,solved,0,0.0003782001477965685,33.96890806580193,66,0.6036483978108539,0.0019621909464317944,0.0007378090535682057
73,67,0.24565134700656652,-0.03782536899122059,-0.0701850702118193,-1.8330933992133608e-16,-0.24566142280234315,-1.5708098456529345,0.004194459650915499,0.7866524805188896,-0.8413477124051056,-0.09,0.02040393626179725,-0.9227341954117682,-0.37972608920627915,0.06287591891118828,0.06705266166329457,0.7976365871805727,-0.719735765214521,-0.0973894063268676,-0.582938798545433,-0.8115319136473255,0.03997887294956031,solved,0,0.0004218693838635884,32.5768062478065,67,0.40519609964908027,0.001865284405682146,0.0008347155943178542
74,67,0.17179123476420055,-0.0878583210421786,-0.06779185342717901,2.917180493766386e-15,-0.23059408654638497,-1.5708095532349602,0.02767619593162859,0.7883703928665315,-0.8422262956155274,-0.09,0.020459310312750816,-0.9196502734948091,-0.3869847721924929,0.06377756010991537,0.06732942362261085,0.7979318612096028,-0.7200704130353925,-0.09719292989479168,-0.5329492567929494,-0.8449958287665565,0.04412639857231996,solved,0,0.0001398420968075691,29.1266809712557,67,0.7344645627162396,0.0015649207427205338,0.0011350792572794664
75,67,0.12548542415485106,-0.035013563373935,-0.06878628392995384,-7.812079008799069e-17,-0.21619491135439625,-1.5708092555529507,0.09333679185423577,0.78962524710808,-0.8425764312492667,-0.09,0.02054125768654317,-0.9165130658773749,-0.39421762628324,0.06460897721151102,0.06826279154115321,0.7975948132562686,-0.7201580493246721,-0.09726155555366399,-0.5599670202492696,-0.8273587837268052,0.04375361954462436,solved,0,0.00035090820057322034,30.96245343028153,67,0.8345744545767559,0.0018814071009331207,0.0008185928990668795
76,68,0.15772661463202464,-0.08732029130459451,-0.06589437633929272,-6.894667595190677e-17,-0.20253450968227538,-1.5708089020433922,0.0023940585719958996,0.7912025132544003,-0.8434496341623127,-0.09,0.020648840886504864,-0.9133227305872964,-0.4014243258821602,0.06537373901393348,0.06828673212687317,0.7975702759529126,-0.7213799088208188,-0.09723363081450097,-0.49297522995091986,-0.8690331537281342,0.041914202559165975,solved,0,0.0004795659056341493,27.615626429349646,68,1.0,0.001855931733261767,0.0008440682667382332
77,68,0.11475598622222215,-0.03265348999267625,-0.06576468285305627,-2.9648983456083055e-19,-0.18955428721226433,-1.5708086513349069,0.08614989597820458,0.7923500731166225,-0.8437761690622394,-0.09,0.020781183020679925,-0.9100794210698108,-0.4086045361128897,0.0660751303098929,0.06914823108665522,0.7976064398529332,-0.7213148704029608,-0.09715193847782476,-0.5051325681298824,-0.8619396027224338,0.043602865424221836,solved,0,0.0005230522702218974,28.413629792341926,68,0.9555424832220689,0.0018297725707200666,0.0008702274292799335
78,70,0.1307148000176459,-0.08239276250762981,-0.0648082402531773,-8.858982802010617e-17,-0.17726906231257586,-1.5708083376445083,0.005458247808378552,0.793657221116799,-0.8446000966873157,-0.09,0.020937324388040624,-0.9067832657496617,-0.415757919496943,0.06671648806271108,0.06920281356473901,0.7975767279152015,-0.722323301835431,-0.09718263801205762,-0.45650133450071567,-0.8887574151713692,0.0414341474749081,solved,0,0.0005275529970977894,26.018851372414684,69,0.9404315475382434,0.0018329855575883157,0.0008670144424116845
